"Route","File","Payload Risk Class","Risk Score","File Bytes","Line Count","Reasons","Heavy Fields","Protections","Recommendations"
"/api/questions","src/app/api/questions/route.ts","1MB+","31","37414","1076","5 findMany call(s); 3 raw SQL call(s); full response mode or full-content branch detected; large text/json fields explicitly selected","rationale (1); options (2); body/content (9); exhibitData (2); images/media (2); questionIds/full pools (3)","2 select shape(s); jsonResponseGuarded hard cap; payload-size instrumentation; bounded page size; pagination/cursor parameters","Default to summary/preview mode and hydrate full detail on demand.; Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/flashcards/decks/:deckRef/study","src/app/api/flashcards/decks/[deckRef]/study/route.ts","1MB+","26","24412","705","5 findMany call(s); large text/json fields explicitly selected","rationale (3); options (3); answerKey/correctAnswer (3); body/content (14); flashcard back/pearls (9)","14 select shape(s); payload-size instrumentation; bounded page size; pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/questions/:id","src/app/api/admin/questions/[id]/route.ts","1MB+","26","8405","201","","rationale (11); options (8); answerKey/correctAnswer (8); body/content (6); exhibitData (8); images/media (8); flashcard back/pearls (2)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/questions","src/app/api/admin/questions/route.ts","1MB+","25","10160","267","1 findMany call(s)","rationale (11); options (10); answerKey/correctAnswer (10); body/content (6); exhibitData (6); images/media (6)","1 select shape(s); bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/practice-tests/:id","src/app/api/practice-tests/[id]/route.ts","1MB+","24","36228","964","1 findMany call(s); large text/json fields explicitly selected; large ID array or pool state may be serialized","rationale (2); options (2); body/content (14); exhibitData (1); images/media (1); questionIds/full pools (20); flashcard back/pearls (2)","pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration.; Return a session id plus first batch instead of full pool arrays where possible."
"/api/questions/grade","src/app/api/questions/grade/route.ts","1MB+","24","15819","372","large text/json fields explicitly selected","rationale (5); options (1); answerKey/correctAnswer (5); body/content (22); sections (1); exhibitData (1); images/media (1); flashcard back/pearls (5)","4 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/exams/session","src/app/api/exams/session/route.ts","1MB+","24","9396","246","1 findMany call(s); full response mode or full-content branch detected; large text/json fields explicitly selected; large ID array or pool state may be serialized","options (3); body/content (6); questionIds/full pools (5)","3 select shape(s); payload-size instrumentation; pagination/cursor parameters","Default to summary/preview mode and hydrate full detail on demand.; Split body/rationale/options/sections into detail endpoints or first-batch hydration.; Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/questions/bulk","src/app/api/admin/questions/bulk/route.ts","1MB+","23","5477","163","2 findMany call(s); large text/json fields explicitly selected","rationale (5); options (3); answerKey/correctAnswer (3); body/content (20); flashcard back/pearls (3)","2 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/exam-questions/by-ids","src/app/api/exam-questions/by-ids/route.ts","1MB+","20","6437","174","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call; large text/json fields explicitly selected","rationale (1); options (1); answerKey/correctAnswer (1); body/content (4); questionIds/full pools (1); flashcard back/pearls (2)","1 select shape(s)","Add explicit take/pageSize caps or move to cursor/snapshot pagination.; Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/exams/start","src/app/api/exams/start/route.ts","1MB+","18","16998","444","1 findMany call(s); large text/json fields explicitly selected; large ID array or pool state may be serialized","options (2); body/content (4); questionIds/full pools (5)","2 select shape(s); payload-size instrumentation; pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration.; Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/ai/drafts/questions/:id/promote","src/app/api/admin/ai/drafts/questions/[id]/promote/route.ts","500KB+","17","9063","218","","rationale (9); options (8); answerKey/correctAnswer (6); body/content (10); exhibitData (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/practice-tests/:id/question","src/app/api/practice-tests/[id]/question/route.ts","500KB+","17","7898","209","large text/json fields explicitly selected; large ID array or pool state may be serialized","options (1); body/content (6); exhibitData (1); images/media (1); questionIds/full pools (3)","1 select shape(s); payload-size instrumentation; pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration.; Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/flashcards","src/app/api/admin/flashcards/route.ts","500KB+","16","14721","368","1 findMany call(s)","rationale (2); options (6); answerKey/correctAnswer (20); body/content (1); flashcard back/pearls (12)","2 select shape(s); bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/ai/drafts/flashcards/:id/promote","src/app/api/admin/ai/drafts/flashcards/[id]/promote/route.ts","500KB+","16","8497","216","","options (4); answerKey/correctAnswer (12); body/content (4); flashcard back/pearls (6)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/ai/ecg-video-questions/generate","src/app/api/admin/ai/ecg-video-questions/generate/route.ts","500KB+","16","6181","173","","rationale (5); options (5); answerKey/correctAnswer (5); body/content (3); exhibitData (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/practice-tests","src/app/api/practice-tests/route.ts","500KB+","15","43191","1164","3 findMany call(s); large ID array or pool state may be serialized","rationale (1); body/content (5); questionIds/full pools (13)","3 select shape(s); pagination/cursor parameters","Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/flashcards/:flashcardId","src/app/api/admin/flashcards/[flashcardId]/route.ts","500KB+","15","15249","370","","rationale (2); options (10); answerKey/correctAnswer (25); body/content (1); flashcard back/pearls (9)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/baseline-assessment/submit","src/app/api/learner/baseline-assessment/submit/route.ts","500KB+","15","5441","136","1 findMany call(s); large ID array or pool state may be serialized","answerKey/correctAnswer (3); body/content (9); questionIds/full pools (5)","1 select shape(s); pagination/cursor parameters","Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/printables","src/app/api/admin/printables/route.ts","500KB+","14","6789","180","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (4); images/media (5)","3 select shape(s); pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/exams/session/question","src/app/api/exams/session/question/route.ts","500KB+","14","4969","121","large text/json fields explicitly selected; large ID array or pool state may be serialized","options (1); body/content (2); questionIds/full pools (4)","2 select shape(s); payload-size instrumentation","Split body/rationale/options/sections into detail endpoints or first-batch hydration.; Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/blog/:id","src/app/api/admin/blog/[id]/route.ts","500KB+","13","31641","794","large text/json fields explicitly selected","body/content (25); images/media (8); flashcard back/pearls (1)","3 select shape(s)","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/lessons","src/app/api/lessons/route.ts","500KB+","13","15199","402","4 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (7)","5 select shape(s); jsonResponseGuarded hard cap; payload-size instrumentation; bounded page size; pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/admin/blog","src/app/api/admin/blog/route.ts","500KB+","13","14786","395","1 findMany call(s); large text/json fields explicitly selected","body/content (13); images/media (5)","2 select shape(s); bounded page size; pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/questions/:id","src/app/api/questions/[id]/route.ts","500KB+","13","9247","234","large text/json fields explicitly selected","rationale (1); options (2); body/content (9); exhibitData (1); images/media (1)","3 select shape(s); payload-size instrumentation","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/blog/localized/generate","src/app/api/admin/blog/localized/generate/route.ts","250KB+","12","16836","455","large text/json fields explicitly selected","body/content (14); localized full text (5)","3 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/learner/command-center","src/app/api/learner/command-center/route.ts","250KB+","12","8923","243","1 findMany call(s); large text/json fields explicitly selected","rationale (3); body/content (5)","1 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/printables/:id","src/app/api/admin/printables/[id]/route.ts","250KB+","12","6855","142","include-heavy Prisma response shape detected","body/content (4); images/media (10)","4 select shape(s); 1 include shape(s) to review; pagination/cursor parameters","Replace include-heavy reads with route-specific select shapes."
"/api/admin/flashcards/summary","src/app/api/admin/flashcards/summary/route.ts","250KB+","12","5069","134","1 findMany call(s); 1 raw SQL call(s); large text/json fields explicitly selected","rationale (6); options (2)","2 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/learner/baseline-assessment/questions","src/app/api/learner/baseline-assessment/questions/route.ts","250KB+","12","3403","93","1 findMany call(s); large text/json fields explicitly selected; large ID array or pool state may be serialized","options (1); body/content (2); questionIds/full pools (1)","2 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration.; Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/marketing-public-content","src/app/api/admin/marketing-public-content/route.ts","250KB+","11","19298","697","2 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (15)","4 select shape(s); pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/admin/educator/remediation-assignments","src/app/api/admin/educator/remediation-assignments/route.ts","250KB+","11","6757","205","1 findMany call(s); 1 raw SQL call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (9)","1 select shape(s); pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/learner/lesson-topic-quiz","src/app/api/learner/lesson-topic-quiz/route.ts","250KB+","11","2301","69","large ID array or pool state may be serialized","body/content (4); questionIds/full pools (4)","","Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/blog/control-panel/persist-draft","src/app/api/admin/blog/control-panel/persist-draft/route.ts","250KB+","10","9770","289","large text/json fields explicitly selected","body/content (5); sections (1); images/media (1)","1 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/lessons/bulk","src/app/api/admin/lessons/bulk/route.ts","250KB+","10","6087","169","2 findMany call(s); large text/json fields explicitly selected","body/content (30)","2 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/learner/lesson-bank-study-loop","src/app/api/learner/lesson-bank-study-loop/route.ts","250KB+","10","3202","98","large ID array or pool state may be serialized","body/content (5); questionIds/full pools (3)","","Return a session id plus first batch instead of full pool arrays where possible."
"/api/verified-study/decks/:deckId/cards","src/app/api/verified-study/decks/[deckId]/cards/route.ts","250KB+","10","1897","48","","rationale (3); body/content (9); flashcard back/pearls (3)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/beta/testers/export","src/app/api/admin/beta/testers/export/route.ts","250KB+","10","1549","49","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call; include-heavy Prisma response shape detected","","2 select shape(s); 1 include shape(s) to review; no JSON response detected","Add explicit take/pageSize caps or move to cursor/snapshot pagination.; Replace include-heavy reads with route-specific select shapes."
"/api/admin/pathway-lessons/:id","src/app/api/admin/pathway-lessons/[id]/route.ts","250KB+","9","14060","386","","body/content (24); sections (21); flashcard back/pearls (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/cat/np/answer","src/app/api/cat/np/answer/route.ts","250KB+","9","10115","301","1 findMany call(s)","body/content (7); questionIds/full pools (7)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards","src/app/api/flashcards/route.ts","250KB+","9","9620","257","1 findMany call(s)","body/content (17); flashcard back/pearls (9)","2 select shape(s); payload-size instrumentation; bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/content-pipeline/batch","src/app/api/admin/content-pipeline/batch/route.ts","250KB+","9","8284","234","","rationale (2); body/content (11); sections (3)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/question-bookmarks","src/app/api/learner/question-bookmarks/route.ts","250KB+","9","7327","193","1 findMany call(s); large text/json fields explicitly selected","body/content (12)","2 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/blog/upgrade-weak","src/app/api/admin/blog/upgrade-weak/route.ts","250KB+","9","6773","215","1 findMany call(s); large text/json fields explicitly selected","body/content (5)","1 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/cat/np/session","src/app/api/cat/np/session/route.ts","250KB+","9","6248","178","1 findMany call(s)","body/content (7); questionIds/full pools (6)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/pathway-lesson","src/app/api/learner/pathway-lesson/route.ts","250KB+","9","5534","155","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (3)","1 select shape(s)","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/printables/:id/download","src/app/api/printables/[id]/download/route.ts","250KB+","9","4344","107","include-heavy Prisma response shape detected","body/content (1); images/media (6)","2 select shape(s); 1 include shape(s) to review","Replace include-heavy reads with route-specific select shapes."
"/api/admin/printables/:id/preview-download","src/app/api/admin/printables/[id]/preview-download/route.ts","250KB+","9","2751","67","include-heavy Prisma response shape detected","body/content (1); images/media (6)","1 select shape(s); 1 include shape(s) to review","Replace include-heavy reads with route-specific select shapes."
"/api/admin/blog/generate-ai","src/app/api/admin/blog/generate-ai/route.ts","250KB+","8","15106","450","large text/json fields explicitly selected","body/content (4)","1 select shape(s); pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/blog/localized/:id","src/app/api/admin/blog/localized/[id]/route.ts","250KB+","8","10992","278","","body/content (11); localized full text (9)","2 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/questions/freemium-grade","src/app/api/questions/freemium-grade/route.ts","250KB+","8","5558","146","","answerKey/correctAnswer (4); body/content (9)","2 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/notes","src/app/api/learner/notes/route.ts","250KB+","8","5143","146","large text/json fields explicitly selected","body/content (12)","2 select shape(s)","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/blog/:id/body/regenerate","src/app/api/admin/blog/[id]/body/regenerate/route.ts","250KB+","8","4820","150","large text/json fields explicitly selected","body/content (5)","2 select shape(s)","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/pathway-lessons/:id/sections/:sectionId","src/app/api/admin/pathway-lessons/[id]/sections/[sectionId]/route.ts","250KB+","8","4055","128","","body/content (7); sections (4)","","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/social/notifications","src/app/api/learner/social/notifications/route.ts","250KB+","8","3954","106","4 findMany call(s)","body/content (5)","9 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/cron/generate-snapshots","src/app/api/cron/generate-snapshots/route.ts","100KB+","7","6859","176","1 findMany call(s)","body/content (3); flashcard back/pearls (3)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/ai/flashcards/generate","src/app/api/admin/ai/flashcards/generate/route.ts","100KB+","7","6640","188","","body/content (5); flashcard back/pearls (3)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/blog/localized","src/app/api/admin/blog/localized/route.ts","100KB+","7","6111","149","","body/content (5); localized full text (3)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/blog/batch-chunk","src/app/api/admin/blog/batch-chunk/route.ts","100KB+","7","3773","124","","body/content (3); questionIds/full pools (7)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/community-stats/:flashcardId","src/app/api/flashcards/community-stats/[flashcardId]/route.ts","100KB+","7","3347","90","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (1)","1 select shape(s)","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/pricing/options","src/app/api/pricing/options/route.ts","100KB+","7","2363","64","","options (3); body/content (6)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/media/batch-scan","src/app/api/admin/media/batch-scan/route.ts","100KB+","7","2176","73","1 findMany call(s)","body/content (4); images/media (2)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/printables/:id/analytics","src/app/api/admin/printables/[id]/analytics/route.ts","100KB+","7","2166","54","2 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","","3 select shape(s); pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/learner/notes/recent","src/app/api/learner/notes/recent/route.ts","100KB+","7","1954","55","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","body/content (1)","1 select shape(s); bounded page size; pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/subscriptions/checkout","src/app/api/subscriptions/checkout/route.ts","100KB+","6","27517","658","","body/content (2); questionIds/full pools (1); flashcard back/pearls (3)","4 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/marketing-assets/:...path","src/app/api/marketing-assets/[...path]/route.ts","100KB+","6","6172","164","","body/content (3); images/media (3)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/pre-nursing-progress","src/app/api/learner/pre-nursing-progress/route.ts","100KB+","6","6009","158","2 findMany call(s)","body/content (4)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/ai/exam-questions/drafts/:id/regenerate-section","src/app/api/admin/ai/exam-questions/drafts/[id]/regenerate-section/route.ts","100KB+","6","5976","176","","rationale (1); options (1); body/content (8)","2 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/cases/cnple/:sessionId/review","src/app/api/cases/cnple/[sessionId]/review/route.ts","100KB+","6","3024","80","","rationale (3); options (2); body/content (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/jobs","src/app/api/admin/jobs/route.ts","100KB+","6","2790","90","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","","1 select shape(s); bounded page size; pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/modules/ecg-pediatric/cases/:id/attempt","src/app/api/modules/ecg-pediatric/cases/[id]/attempt/route.ts","100KB+","6","2597","76","","options (3); body/content (3)","","Verify measured payload in live audit and keep response under 100KB."
"/api/verified-study/ai/draft-cards","src/app/api/verified-study/ai/draft-cards/route.ts","100KB+","6","2171","55","","rationale (1); body/content (5); flashcard back/pearls (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/printables","src/app/api/printables/route.ts","100KB+","6","1826","56","1 findMany call(s); one or more findMany blocks lack an obvious take/limit in the local call","","1 select shape(s); bounded page size; pagination/cursor parameters","Add explicit take/pageSize caps or move to cursor/snapshot pagination."
"/api/verified-study/cards/:cardId","src/app/api/verified-study/cards/[cardId]/route.ts","100KB+","6","1707","46","","rationale (1); body/content (4); flashcard back/pearls (1)","","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/export/content","src/app/api/admin/export/content/route.ts","100KB+","6","1226","44","1 findMany call(s); large text/json fields explicitly selected","rationale (1)","1 select shape(s); bounded page size; pagination/cursor parameters","Split body/rationale/options/sections into detail endpoints or first-batch hydration."
"/api/admin/ai/exam-questions/generate-batch/:jobId/step","src/app/api/admin/ai/exam-questions/generate-batch/[jobId]/step/route.ts","100KB+","5","20318","565","1 findMany call(s)","body/content (4)","6 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/blog/campaigns/:id/run-chunk","src/app/api/admin/blog/campaigns/[id]/run-chunk/route.ts","100KB+","5","12838","323","1 findMany call(s)","body/content (9)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/inventory","src/app/api/flashcards/inventory/route.ts","100KB+","5","11211","299","","body/content (10); questionIds/full pools (1)","no JSON response detected","Verify measured payload in live audit and keep response under 100KB."
"/api/questions/discovery","src/app/api/questions/discovery/route.ts","100KB+","5","10419","233","","body/content (6); questionIds/full pools (1)","payload-size instrumentation","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/ai/exam-questions/generate","src/app/api/admin/ai/exam-questions/generate/route.ts","100KB+","5","10243","304","1 findMany call(s)","body/content (7)","4 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/checkout/advanced-labs","src/app/api/subscriptions/checkout/advanced-labs/route.ts","100KB+","5","9764","290","1 findMany call(s)","body/content (6)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/lessons","src/app/api/admin/lessons/route.ts","100KB+","5","9603","261","1 findMany call(s)","body/content (19)","2 select shape(s); bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/checkout/critical-care-bundle","src/app/api/subscriptions/checkout/critical-care-bundle/route.ts","100KB+","5","9501","216","1 findMany call(s)","body/content (6)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/checkout/advanced-hemodynamics","src/app/api/subscriptions/checkout/advanced-hemodynamics/route.ts","100KB+","5","8800","203","1 findMany call(s)","body/content (6)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/subscriptions/checkout/advanced-ecg","src/app/api/subscriptions/checkout/advanced-ecg/route.ts","100KB+","5","8583","214","1 findMany call(s)","body/content (7)","3 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/decks","src/app/api/flashcards/decks/route.ts","100KB+","5","7321","207","1 findMany call(s)","body/content (6)","3 select shape(s); jsonResponseGuarded hard cap; payload-size instrumentation; bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/coach","src/app/api/coach/route.ts","100KB+","5","6116","201","","rationale (1); body/content (7)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/monitor-session-reports","src/app/api/learner/monitor-session-reports/route.ts","100KB+","5","5958","168","1 findMany call(s)","body/content (6)","2 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/demo-users","src/app/api/admin/demo-users/route.ts","100KB+","5","5410","202","1 findMany call(s)","body/content (10)","2 select shape(s); bounded page size; pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/practice-tests/:id/cat-study-review","src/app/api/practice-tests/[id]/cat-study-review/route.ts","100KB+","5","5181","136","large ID array or pool state may be serialized","body/content (1); questionIds/full pools (1)","pagination/cursor parameters","Return a session id plus first batch instead of full pool arrays where possible."
"/api/admin/blog/campaigns","src/app/api/admin/blog/campaigns/route.ts","100KB+","5","4848","128","1 findMany call(s); include-heavy Prisma response shape detected","","3 select shape(s); 1 include shape(s) to review; pagination/cursor parameters","Replace include-heavy reads with route-specific select shapes."
"/api/beta/feedback","src/app/api/beta/feedback/route.ts","100KB+","5","2977","68","","options (1); body/content (10)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/blog/batch-schedule/:id","src/app/api/admin/blog/batch-schedule/[id]/route.ts","100KB+","5","2772","100","include-heavy Prisma response shape detected","body/content (1)","4 select shape(s); 2 include shape(s) to review; pagination/cursor parameters","Replace include-heavy reads with route-specific select shapes."
"/api/flashcards/options/:flashcardId/select","src/app/api/flashcards/options/[flashcardId]/select/route.ts","100KB+","5","2477","59","","options (3); body/content (2)","","Verify measured payload in live audit and keep response under 100KB."
"/api/beta/activity","src/app/api/beta/activity/route.ts","100KB+","5","2035","51","","options (1); body/content (9)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/pathway-lessons/lookup","src/app/api/admin/pathway-lessons/lookup/route.ts","100KB+","5","1317","31","","body/content (3); sections (2)","","Verify measured payload in live audit and keep response under 100KB."
"/api/flashcards/custom-session","src/app/api/flashcards/custom-session/route.ts","100KB+","4","19719","478","","body/content (7)","","Verify measured payload in live audit and keep response under 100KB."
"/api/cron/monitoring-synthetic","src/app/api/cron/monitoring-synthetic/route.ts","100KB+","4","10368","287","","options (1); body/content (3)","pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
"/api/learner/exam-plan","src/app/api/learner/exam-plan/route.ts","100KB+","4","9661","267","","body/content (8)","1 select shape(s)","Verify measured payload in live audit and keep response under 100KB."
"/api/admin/lessons/:id","src/app/api/admin/lessons/[id]/route.ts","100KB+","4","9553","235","","body/content (28)","1 select shape(s); pagination/cursor parameters","Verify measured payload in live audit and keep response under 100KB."
